Name,Fear,Image (.png),done
Achluophobia ,darkness,darkness,d
Acousticophobia ,noise,volume,d
Acrophobia ,heights,heights,d
Aerophobia ,flying,flying,d
Agoraphobia ,open spaces,open-spaces,d
Agyrophobia ,crossing streets,crossing-streets,d
Aichmophobia ,sharp objects,sharp-objects,d
Ailurophobia ,cats,cats,d
Algophobia ,pain,pain,d
Ancraophobia ,wind,wind,d
Aquaphobia ,water,water,d
Arachnophobia ,spiders,spider,d
Astraphobia ,thunder and lightning,thunder-lightning,d
Autophobia ,isolation,isolation,d
Bacteriophobia ,bacteria,bacteria,d
Basophobia,falling,falling,d
Batrachophobia ,frogs,frogs,d
Belonephobia ,needles,needles,d
Bibliophobia ,books,books,d
Cacophobia,ugliness,ugliness,d
Carcinophobia ,cancer,cancer,d
Catoptrophobia ,mirrors,mirrors,d
Chemophobia ,chemicals,chemicals,d
Cherophobia ,happiness,chemicals,d
Chiroptophobia ,bats,chemicals,d
Chromophobia,colours,chemicals,d
Chronomentrophobia ,clocks,chemicals,d
Chronophobia ,time passing,time_passing,d
Cibophobia,food,food,d
Claustrophobia ,closed spaces,closed_spaces,d
Coimetrophobia ,cemetries,cemetries,
Coulrophobia ,clowns,clowns,
Cyberphobia ,computers,computers,
Cynophobia ,dogs,dogs,
Demonophobia,demons,demons,
Dendrophobia ,trees,trees,
Dentophobia ,dentists,dentists,
Domatophobia ,houses,houses,
Emetophobia ,vomiting,vomiting,
Enochlophobia ,crowds,crowds,
Entomophobia ,insects,insects,
Ephebiphobia ,youth,youth,
Equinophobia ,horses,horses,
Ergophobia,work,work,
Frigophobia ,cold,cold,
Gamophobia ,marriage,marriage,
Gephyrophobia ,bridges,bridges,
Gerascophobia ,aging,aging,
Germophobia ,germs,germs,
Globophobia ,balloons,balloons,
Glossophobia ,public speaking,public_speaking,
Halitophobia ,bad breath,bad-breath,
Heliophobia,sunlight,sunlight,
Helminthophobia,worms,worms,
Hemophobia,blood,blood,
Herpetophobia ,reptiles,reptiles,
Hexakosioihexekontahexaphobia ,reptiles,reptiles,
Hodophobia ,travel,travel,
Hydrophobia,water,water,
Hypochondria ,illness,illness,
Ichthyophobia ,fish,fish,
Insectophobia ,insects,insects,
Koumpounophobia ,buttons,buttons,
Lepidopterophobia ,butterflies,butterflies,
Lilapsophobia ,tornadoes or hurricanes,hurricanes,
Mageirocophobia ,cooking,cooking,
Melanophobia ,black,black,
Melissophobia,bees,bees,
Monophobia ,being alone,isolation,
Musophobi,mice,mice,
Myrmecophobia ,ants,ants,
Necrophobia ,death,death,
Neophobia,new things,ants,
Noctiphobia ,night,darkness,
Nosocomephobia ,hospitals,hospital,
Numerophobia ,numbers,numbers,
Nyctophobia,darkness,darkness,
Obesophobia ,weight gain,weight,
Ommetaphobia ,eyes,eyes,
Oneirophobia ,dreams,dreams,
Ophidiophobia ,snakes,snakes,
Ornithophobia ,birds,birds,
Osmophobia,smells,smells,
Ostraconophobia ,shellfish,shellfish,
Panphobia ,everything,everything,
pediaphobia ,babies and children,babies,
Pharmacophobia ,medicine,medicine,
Phasmophobia ,ghosts,ghosts,
Phobophobia ,fear,fear,
Phonophobia ,loud sounds,volume,
Pogonophobia ,beards,beards,
Porphyrophobia ,purple,purple,
Pteromerhanophobia ,flying,travel,
Pyrophobia ,fire,fire,
Radiophobia ,radioactivity,radioactivity,
Roller coaster phobia ,roller coasters,roller_coaster,
Siderodromophobia ,trains,trains,
Sociophobia ,people,crowds,
Somniphobia ,sleep,dreams,
Taphophobia,graves,death,
Technophobia ,technology,technology,
Tetraphobia ,4,four,
Thalassophobia ,sea,sea,
Thanatophobia ,dying,death,
Thermophobia ,heat,heat,
Toxiphobia ,poisons,poisons,
Traumatophobia ,injury,pain,
Trichophobia ,hair loss,hairloss,
Triskaidekaphobia,13,thirteen,
Trypanophobia,needles,needles,
Vehophobia ,driving,driving,
Xanthophobia ,yellow,yellow,
Xenophobia ,foreigners,foreigners,
